Feature 1,Feature 2,Correlation
playlist_genre_rock,artist_popularity,-0.19273276054417945
release_year,artist_popularity,0.2852928203163766
track_popularity,playlist_genre_edm,0.07062938825372798
danceability,playlist_genre_edm,0.01581438923611223
energy,playlist_genre_edm,0.037096745608174705
key,playlist_genre_edm,0.0052075469543506
loudness,playlist_genre_edm,0.10820305574294671
mode,playlist_genre_edm,-0.027726325757926485
speechiness,playlist_genre_edm,-0.052886399695991515
acousticness,playlist_genre_edm,-0.02872756892307237
instrumentalness,playlist_genre_edm,-0.0037446557883543665
liveness,playlist_genre_edm,-0.008426744901193555
valence,playlist_genre_edm,-0.0630000221471449
tempo,playlist_genre_edm,-0.00039929877535583365
duration_ms,playlist_genre_edm,-0.08786312859246984
Views,playlist_genre_edm,0.13449454561632512
Likes,playlist_genre_edm,0.1411621142053819
Comments,playlist_genre_edm,0.09156447740069189
artist_popularity,playlist_genre_edm,0.14937875924018573
playlist_genre_edm,playlist_genre_edm,1.0
playlist_genre_latin,playlist_genre_edm,-0.10644019793192878
playlist_genre_pop,playlist_genre_edm,-0.1365402348368735
playlist_genre_r&b,playlist_genre_edm,-0.10820919780596995
playlist_genre_rap,playlist_genre_edm,-0.0976445367564078
playlist_genre_rock,playlist_genre_edm,-0.16563921993136418
release_year,playlist_genre_edm,0.16838988886764938
track_popularity,playlist_genre_latin,0.07232522464017027
danceability,playlist_genre_latin,0.1845939772268766
energy,playlist_genre_latin,0.01896261592286712
key,playlist_genre_latin,0.004789999080489477
loudness,playlist_genre_latin,0.12312699294521351
mode,playlist_genre_latin,-0.019672669452396006
speechiness,playlist_genre_latin,-0.006867709971183982
acousticness,playlist_genre_latin,0.11045393185069007
instrumentalness,playlist_genre_latin,-0.07464601181447145
liveness,playlist_genre_latin,-0.013178682833558544
valence,playlist_genre_latin,0.14244197253888627
tempo,playlist_genre_latin,-0.03624404195757599
duration_ms,playlist_genre_latin,-0.0869503701756649
Views,playlist_genre_latin,0.11627729174421463
Likes,playlist_genre_latin,0.07001390915683048
Comments,playlist_genre_latin,0.038421850253973336
artist_popularity,playlist_genre_latin,-0.004782735034947637
playlist_genre_edm,playlist_genre_latin,-0.10644019793192878
playlist_genre_latin,playlist_genre_latin,1.0
playlist_genre_pop,playlist_genre_latin,-0.22045249318819185
playlist_genre_r&b,playlist_genre_latin,-0.17471031502706966
playlist_genre_rap,playlist_genre_latin,-0.1576530287931128
playlist_genre_rock,playlist_genre_latin,-0.26743457009021676
release_year,playlist_genre_latin,0.21342247553709287
track_popularity,playlist_genre_pop,0.10520696988499158
danceability,playlist_genre_pop,0.02469354228538627
energy,playlist_genre_pop,0.01647753660420114
key,playlist_genre_pop,-0.009424995682762583
loudness,playlist_genre_pop,0.12638126112566828
mode,playlist_genre_pop,-0.018642822680185755
speechiness,playlist_genre_pop,-0.11108589642735874
acousticness,playlist_genre_pop,-0.039434716589871334
instrumentalness,playlist_genre_pop,0.013434422203878409
liveness,playlist_genre_pop,-0.04130287568471891
valence,playlist_genre_pop,-0.0575634043303451
tempo,playlist_genre_pop,0.005022981496005739
duration_ms,playlist_genre_pop,-0.13216694231059778
Views,playlist_genre_pop,0.19572182520933823
Likes,playlist_genre_pop,0.2106116531004017
Comments,playlist_genre_pop,0.1546959902296641
artist_popularity,playlist_genre_pop,0.21698564594829703
playlist_genre_edm,playlist_genre_pop,-0.1365402348368735
playlist_genre_latin,playlist_genre_pop,-0.22045249318819185
playlist_genre_pop,playlist_genre_pop,1.0
playlist_genre_r&b,playlist_genre_pop,-0.22411633861744654
playlist_genre_rap,playlist_genre_pop,-0.2022354523234021
playlist_genre_rock,playlist_genre_pop,-0.3430619231558464
release_year,playlist_genre_pop,0.2587594471210228
track_popularity,playlist_genre_r&b,0.030147637632793683
danceability,playlist_genre_r&b,0.12461923534564419
energy,playlist_genre_r&b,-0.24250052158076374
key,playlist_genre_r&b,-0.02152344749878897
loudness,playlist_genre_r&b,-0.0896057340524042
mode,playlist_genre_r&b,-0.06182038929108711
speechiness,playlist_genre_r&b,0.10821907981393174
acousticness,playlist_genre_r&b,0.15758765034119654
instrumentalness,playlist_genre_r&b,-0.036738918555591485
liveness,playlist_genre_r&b,-0.03098629278562579
valence,playlist_genre_r&b,-0.04530130104127978
tempo,playlist_genre_r&b,-0.07782404586067328
duration_ms,playlist_genre_r&b,-0.01612387974313763
Views,playlist_genre_r&b,-0.07668862108505302
Likes,playlist_genre_r&b,-0.03657861496542137
Comments,playlist_genre_r&b,-0.04580357038174405
artist_popularity,playlist_genre_r&b,-0.0022427752484094265
playlist_genre_edm,playlist_genre_r&b,-0.10820919780596995
playlist_genre_latin,playlist_genre_r&b,-0.17471031502706966
playlist_genre_pop,playlist_genre_r&b,-0.22411633861744654
playlist_genre_r&b,playlist_genre_r&b,1.0
playlist_genre_rap,playlist_genre_r&b,-0.16027316849123324
playlist_genre_rock,playlist_genre_r&b,-0.27187924165223587
release_year,playlist_genre_r&b,0.11366861940730094
track_popularity,playlist_genre_rap,-0.07229928487522279
danceability,playlist_genre_rap,0.2862881352147206
energy,playlist_genre_rap,-0.04780165708018797
key,playlist_genre_rap,0.058053251767056585
loudness,playlist_genre_rap,0.035617198815994344
mode,playlist_genre_rap,-0.06977875844800824
speechiness,playlist_genre_rap,0.44880006278518764
acousticness,playlist_genre_rap,-0.05060963344202845
instrumentalness,playlist_genre_rap,-0.06299969654388293
liveness,playlist_genre_rap,0.0640832306289401
valence,playlist_genre_rap,-0.023048888408147707
tempo,playlist_genre_rap,-0.028385321620261073
duration_ms,playlist_genre_rap,-0.011834151795503919
Views,playlist_genre_rap,-0.08516254278962891
Likes,playlist_genre_rap,-0.061475952479270374
Comments,playlist_genre_rap,-0.04140221889245877
artist_popularity,playlist_genre_rap,-0.10727897028418425
playlist_genre_edm,playlist_genre_rap,-0.0976445367564078
playlist_genre_latin,playlist_genre_rap,-0.1576530287931128
playlist_genre_pop,playlist_genre_rap,-0.2022354523234021
playlist_genre_r&b,playlist_genre_rap,-0.16027316849123324
playlist_genre_rap,playlist_genre_rap,1.0
playlist_genre_rock,playlist_genre_rap,-0.24533517615035147
release_year,playlist_genre_rap,0.08768278815659757
track_popularity,playlist_genre_rock,-0.16020872125449925
danceability,playlist_genre_rock,-0.4808952126698792
energy,playlist_genre_rock,0.17604129199216628
key,playlist_genre_rock,-0.023328422500114143
loudness,playlist_genre_rock,-0.22342609613708775
mode,playlist_genre_rock,0.1463651522492386
speechiness,playlist_genre_rock,-0.27796273262868304
acousticness,playlist_genre_rock,-0.1215909402568755
instrumentalness,playlist_genre_rock,0.122534879058914
liveness,playlist_genre_rock,0.029881449145607353
valence,playlist_genre_rock,0.027481138399541607
tempo,playlist_genre_rock,0.10562978625195824
duration_ms,playlist_genre_rock,0.25555930354878365
Views,playlist_genre_rock,-0.2171683626489644
Likes,playlist_genre_rock,-0.24710441325285534
Comments,playlist_genre_rock,-0.1528526564228523
artist_popularity,playlist_genre_rock,-0.19273276054417945
playlist_genre_edm,playlist_genre_rock,-0.16563921993136418
playlist_genre_latin,playlist_genre_rock,-0.26743457009021676
playlist_genre_pop,playlist_genre_rock,-0.3430619231558464
playlist_genre_r&b,playlist_genre_rock,-0.27187924165223587
playlist_genre_rap,playlist_genre_rock,-0.24533517615035147
playlist_genre_rock,playlist_genre_rock,1.0
release_year,playlist_genre_rock,-0.6435134387811438
track_popularity,release_year,0.17438937807907945
danceability,release_year,0.2769997673929838
energy,release_year,-0.05913471724877973
key,release_year,0.023985787343415436
loudness,release_year,0.37503871330293564
mode,release_year,-0.1181295745612027
speechiness,release_year,0.18083027975087684
acousticness,release_year,0.04988666417118037
instrumentalness,release_year,-0.09312634444200409
liveness,release_year,-0.020465173907347516
valence,release_year,-0.1790971664985414
tempo,release_year,0.0033451896031700167
duration_ms,release_year,-0.3294085973677896
Views,release_year,0.25036373169367443
Likes,release_year,0.29713708340631206
Comments,release_year,0.17737849753755938
artist_popularity,release_year,0.2852928203163766
playlist_genre_edm,release_year,0.16838988886764938
playlist_genre_latin,release_year,0.21342247553709287
playlist_genre_pop,release_year,0.2587594471210228
playlist_genre_r&b,release_year,0.11366861940730094
playlist_genre_rap,release_year,0.08768278815659757
playlist_genre_rock,release_year,-0.6435134387811438
release_year,release_year,1.0
